status,hubstaff_org_id,hubstaff_client_id,hubstaff_client_name,hubstaff_project_id,hubstaff_project_name,hubstaff_user_id,hubstaff_user_name,hubstaff_bill_rate,qbo_customer_id,qbo_customer_legal_name,qbo_customer_dba,qbo_recurring_sales_receipt_id,qbo_line_id,qbo_hours_field,qbo_va_number,notes
draft,730247,,,,,,,,,,,,,,,EXAMPLE — phantom client. Matt fills real QBO IDs. Do not bill.
draft,730247,,,,,,,,,,,,,,,EXAMPLE — Gracious Living / Peter Sotos. Leave blank until phantom works. Hubstaff client name Peter Sotos is on the org.
draft,730247,,,4156615,AllCare Home Health Agency,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4153572,Amada Senior Care,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4156529,Assisting Hands,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4159461,Assisting Hands Central Milwaukee,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,3889080,Assisting Hands Chicago North,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4163064,Assisting Hands CO,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4163059,Assisting Hands Dedham,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4158782,Assisting Hands IL,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4159462,Assisting Hands Orland Park IL,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4150517,Assisting Hands Westlake,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4153562,Attentive Home Care,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4150479,BlueDot Cares,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,3894718,BREAK,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,3889009,Care Advantage,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4161560,Care Builders,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4156557,ComForCare,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4153523,ComForCare MD,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4159457,Comprehensive Home Health Solutions,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4144289,Comprehensive Home Health Solutions - Jullian Speegle,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4151987,Executive Home Care,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4164808,Executive Home Care - Manassas,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4153549,Executive Home Care NE,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4159455,Executive Home Care NJ,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4156533,Executive Home Care of Alpharetta,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4153575,Executive Home Care of Augusta,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4153584,Executive Home Care of Delaware County,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4161584,Executive Home Care - San Diego,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4153569,Executive Home Care - Tim,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4163043,First Light Home Care CA,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4150498,First Light Home Care - Charlotte,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4163035,FirstLight Home Care of Mission Viejo,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4151970,FirstLight Home Care of Sylvania-Perrysburg,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4150506,First Light Home Ohio,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4159428,Golden Heart Senior Care,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4154830,Havencare,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4116227,Help at Home Senior Care,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,3888998,Helper Heroes' Project,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4163032,HomeWell Care Services NJ,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4164798,Interim Healthcare La Jolla SD,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4157219,Interim Health Care - Utah,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4163024,Just Like Family Caregivers,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,3889787,King's Grace Home Care,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4161573,Life's Home Care,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4151974,Limitless Horizon CA,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4153589,Modern Midwest Home Care,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4153553,No Place Like Home Health Care,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4164794,One You Love Home Care,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4153518,Pando Home Care,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4153555,Phoenician Home Care,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4163047,Physical 4 U Health,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4161563,Qualicare - Austin TX,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4157229,Qualicare Missourri,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4164820,Quality 1 Care,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4153504,San Diego Community Living Service,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4164784,Senior Helper CA,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4154817,"Senior Helpers - Camp Hill, Carlisle, Hershey, York, Mifflinburg",,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4164776,Senior Helpers - MN,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4164790,Senior Helpers New Hampshire,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4156519,Senior Helpers of Coastal OC,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4140791,Senior Helpers - Rhode Island,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4157225,Senior Helpers - Scottsdale AZ,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4153110,Senior Helpers TN,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4161590,The Remarkable Agency,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4163067,Uplift Home Care,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4158776,Viora Family Services,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,4161552,Visiting Angels - WA,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
draft,730247,,,3934273,Willow Heart Home Care,,,,,,,,,,,Hubstaff IDs seeded 2026-08-26 from org 730247. QBO columns for Matt.
